duration,language,movie_id,production_country,rank,release_date,title,type1,type2,type3
148,英语,3099221,美国,5.2,2021-05-14,活死人军团 Army of the Dead,动作,科幻,恐怖
107,英语,27056396,美国,6.9,2021-07-02,宝贝老板2 The Boss Baby: Family Business,喜剧,动画,
53,英语,35432352,英国,9.4,2021-12-24,万物生灵：2021圣诞特别集 All Creatures Great and Small: Christmas Special,剧情,喜剧,
93,粤语,30174091,中国香港 / 中国大陆,4.4,2021-05-14,感动她77次 感動她77次,喜剧,爱情,
93,英语,34857667,美国,6.4,2021-10-01,亚当斯一家2 The Addams Family 2,喜剧,动画,奇幻
116,英语,30216729,美国 / 英国,6.4,2021-06-16,王牌保镖2 The Hitman's Wife's Bodyguard,喜剧,动作,犯罪
95,汉语普通话,35172699,中国大陆,7.5,2021-01-22,武汉日夜,纪录片,,
106,英语,33437580,美国 / 英国 / 加拿大,7.7,2021-10-22,天赐灵机 Ron's Gone Wrong,喜剧,科幻,动画
102,日语,35691909,日本,9.0,2021-09-12,鬼灭之刃 浅草篇 鬼滅の刃 浅草編,动画,,
136,汉语普通话,27008393,中国大陆,6.2,2021-11-05,不老奇事,剧情,爱情,
122,日语,35211578,日本,8.4,2021-01-02,逃避虽可耻但有用 新春特别篇 逃げるは恥だが役に立つ ガンバレ人類! 新春スペシャル!!,剧情,爱情,
122,日语,35287908,日本,6.2,2022-08-26,雀斑公主 竜とそばかすの姫,科幻,动画,冒险
93,英语,33450426,美国 / 加拿大,5.3,2021-05-14,电锯惊魂9：漩涡 Spiral: From the Book of Saw,悬疑,惊悚,恐怖
117,挪威语,34970325,挪威 / 瑞典 / 丹麦 / 英国 / 法国 / 芬兰,7.0,2021-07-11,无辜者 De uskyldige,惊悚,恐怖,
97,汉语普通话,35442444,中国大陆,4.1,2021-06-25,我没谈完的那场恋爱,爱情,,
137,粤语,30176790,中国香港,6.9,2021-11-12,梅艳芳 梅艷芳,剧情,音乐,传记
51,日语,35206315,日本,9.0,2021-01-16,夏目友人帐：石起和可疑来访者 夏目友人帳 石起こしと怪しき来訪者,动画,奇幻,
124,日语,33404512,日本,7.7,2021-02-26,东京贵族女子 あのこは貴族,剧情,家庭,
111,汉语普通话,30336307,中国大陆,5.8,2021-07-09,俑之城,动画,奇幻,冒险
87,英语,35327855,美国,8.6,2021-03-16,歇斯底里 Hysterical,纪录片,,
106,汉语普通话,27098602,中国大陆,3.1,2021-03-19,日不落酒店,喜剧,,
122,英语,30279170,美国,8.2,2021-11-10,"倒数时刻 Tick, Tick…Boom!",剧情,歌舞,传记
